"id","title","price","permalink","brand","line","model","processor","storage","memory","condition"
"MLA1689430732","Samsung Galaxy S23 Ultra Original 256 Gb- Solo Wifi",550000,"https://articulo.mercadolibre.com.ar/MLA-1689430732-samsung-galaxy-s23-ultra-original-256-gb-solo-wifi-_JM","Samsung","Galaxy S","S23 Ultra","Snapdragon 8 Gen 2","256 GB","12 GB","used"
"MLA1732621616","Celular Samsug Flip 4",490000,"https://articulo.mercadolibre.com.ar/MLA-1732621616-celular-samsug-flip-4-_JM","Samsung","Galaxy Z","Z Flip4 5G","Snapdragon 8+ Gen 1","256 GB","8 GB","used"
"MLA1681624238","Samsung Galaxy Z Flip 5 512gb Color Grafito Como Nuevo",1599999,"https://articulo.mercadolibre.com.ar/MLA-1681624238-samsung-galaxy-z-flip-5-512gb-color-grafito-como-nuevo-_JM","Samsung","Galaxy","Z Flip5","None","512 GB","8 GB","used"
"MLA1693948314","Celular Samsung S23 Ultra 512gb Verde",1399999,"https://articulo.mercadolibre.com.ar/MLA-1693948314-celular-samsung-s23-ultra-512gb-verde-_JM","Samsung","Galaxy S","S23 Ultra","Snapdragon 8 Gen 2","512 GB","12 GB","used"
"MLA1637554814","Samsung S23 Ultra 512gb En Perfecto Estado Como Nuevo",1200000,"https://articulo.mercadolibre.com.ar/MLA-1637554814-samsung-s23-ultra-512gb-en-perfecto-estado-como-nuevo-_JM","Samsung","Galaxy S","S23 Ultra","Snapdragon 8 Gen 2","512 GB","12 GB","used"
"MLA1419710513","Samsung Galaxy S23 Ultra 5g 256 Gb  Lime 12 Gb Ram",950000,"https://articulo.mercadolibre.com.ar/MLA-1419710513-samsung-galaxy-s23-ultra-5g-256-gb-lime-12-gb-ram-_JM","Samsung","Galaxy S","S23 Ultra","Snapdragon 8 Gen 2","256 GB","12 GB","used"
"MLA1683528064","Celular Samsung Galaxy S23 Ultra 256 Gb Cream ",1300000,"https://articulo.mercadolibre.com.ar/MLA-1683528064-celular-samsung-galaxy-s23-ultra-256-gb-cream-_JM","Samsung","Galaxy S","S23 Ultra","Snapdragon 8 Gen 2","256 GB","12 GB","used"
"MLA1632854318"," Samsung  Z Flip3 5g ",600000,"https://articulo.mercadolibre.com.ar/MLA-1632854318-samsung-z-flip3-5g-_JM","Samsung","Galaxy Z","Z Flip3 5G","Snapdragon 888","128 GB","8 GB","used"
"MLA1419843903","Samsung Galaxy A 13 64gb",230000,"https://articulo.mercadolibre.com.ar/MLA-1419843903-samsung-galaxy-a-13-64gb-_JM","Samsung","Galaxy","A13","None","64 GB","64 GB","used"
"MLA1413682337","Samsung A54 5g 8+8/256 Gb ",520000,"https://articulo.mercadolibre.com.ar/MLA-1413682337-samsung-a54-5g-88256-gb-_JM","Samsung","Galaxy A","A54 5G","Exynos 1380","256 GB","8 GB","used"
"MLA1640364790","Samsung S23 Ultra 256gb 3 Meses De Uso, Ni Un Mínimo Detalle",1750000,"https://articulo.mercadolibre.com.ar/MLA-1640364790-samsung-s23-ultra-256gb-3-meses-de-uso-ni-un-minimo-detalle-_JM","Samsung","Galaxy","S23 Ultra","Snapdragon 8 Gen 2","256 GB","12 GB","used"
"MLA1412521193","Samsung Galaxy S23 Dual Sim 256gb Ram 8gb",749900,"https://articulo.mercadolibre.com.ar/MLA-1412521193-samsung-galaxy-s23-dual-sim-256gb-ram-8gb-_JM","Samsung","Galaxy","S23","Snapdragon 8 Gen 2","256 GB","8 GB","used"
"MLA1593341186","Samsung Galaxy Z Flip 4 128gb - Como Nuevo - Con Funda",530000,"https://articulo.mercadolibre.com.ar/MLA-1593341186-samsung-galaxy-z-flip-4-128gb-como-nuevo-con-funda-_JM","Samsung","Galaxy","Z FLIP 4","OCTA-CORE","128 GB","8 GB","used"
"MLA1713075930","Samsung Galaxy A54 5g 256 Gb Negro - Sin Accesorios ",449999,"https://articulo.mercadolibre.com.ar/MLA-1713075930-samsung-galaxy-a54-5g-256-gb-negro-sin-accesorios-_JM","Samsung","Galaxy A","A54 5G","Exynos 1380","256 GB","8 GB","used"
"MLA1707872738","Celular Samsung Z Fold 4",1400000,"https://articulo.mercadolibre.com.ar/MLA-1707872738-celular-samsung-z-fold-4-_JM","Samsung","Galaxy Z","Z Fold4","Snapdragon 8+ Gen 1","512 GB","12 GB","used"
"MLA1417632897","Celular Motorola Edge 20 Pro ",650000,"https://articulo.mercadolibre.com.ar/MLA-1417632897-celular-motorola-edge-20-pro-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1742340650","Smartphone",280000,"https://articulo.mercadolibre.com.ar/MLA-1742340650-smartphone-_JM","Motorola","Edge","Edge 30 Neo","Snapdragon 695 5G","128 GB","8 GB","used"
"MLA1687987126","Motorola Edge 30 128gb Y 8 De Ram.impecable Como Nuevo !",320000,"https://articulo.mercadolibre.com.ar/MLA-1687987126-motorola-edge-30-128gb-y-8-de-ramimpecable-como-nuevo--_JM","Motorola","Edge","30","Snapdragon 778G+ 5G","128 GB","8 GB","used"
"MLA1415193943","Celular Motorola Edge 40 - 256gb - 5g - Color Verde Oliva",550000,"https://articulo.mercadolibre.com.ar/MLA-1415193943-celular-motorola-edge-40-256gb-5g-color-verde-oliva-_JM","Motorola","Edge","Edge 40","MediaTek Dimensity 8020","256 GB","8 GB","used"
"MLA1728065414","Motorola Moto Edge 40 Neo ",500000,"https://articulo.mercadolibre.com.ar/MLA-1728065414-motorola-moto-edge-40-neo-_JM","Motorola","Edge","Edge 40 Neo 5G Dual SIM","MediaTek Dimensity 7030","256 GB","8 GB","used"
"MLA1415224529","Celular Motorola Edge 40 Pro",750000,"https://articulo.mercadolibre.com.ar/MLA-1415224529-celular-motorola-edge-40-pro-_JM","Motorola","Edge","Edge 40 Pro Dual SIM","Snapdragon 8 Gen 2","256 GB","256 GB","used"
"MLA1421964059","Motorola Edge 30 Pro 256 Gb /12 Gb",485000,"https://articulo.mercadolibre.com.ar/MLA-1421964059-motorola-edge-30-pro-256-gb-12-gb-_JM","Motorola","Edge","Edge 30 Pro","Snapdragon 8 Gen 1","256 GB","12 GB","used"
"MLA1415709131","Celular Motorola G200 ",299999,"https://articulo.mercadolibre.com.ar/MLA-1415709131-celular-motorola-g200-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","256 GB","8 GB","used"
"MLA1723414770","Motorola Edge 30 Ultra Color Blanco Ram12gb Rom256gb",750000,"https://articulo.mercadolibre.com.ar/MLA-1723414770-motorola-edge-30-ultra-color-blanco-ram12gb-rom256gb-_JM","Motorola","Edge","30 Ultra","Snapdragon 8+ Gen 1","256 GB","12 GB","used"
"MLA1699390898","Motorola Edge 30 Ultra",440000,"https://articulo.mercadolibre.com.ar/MLA-1699390898-motorola-edge-30-ultra-_JM","Motorola","Edge","30 Ultra Dual SIM","Snapdragon 8+ Gen 1","256 GB","12 GB","used"
"MLA1419699419","Motorola Edge 40 ",620000,"https://articulo.mercadolibre.com.ar/MLA-1419699419-motorola-edge-40-_JM","Motorola","Edge","Edge 40 Dual SIM","MediaTek Dimensity 8020","256 GB","8 GB","used"
"MLA1421515361","Motorola Edge 40 Neo",425000,"https://articulo.mercadolibre.com.ar/MLA-1421515361-motorola-edge-40-neo-_JM","Motorola","Edge","Edge 40 Neo 5G","MediaTek Dimensity 7030","256 GB","8 GB","used"
"MLA1725114130","Motorola Edge 30 Ultra",600000,"https://articulo.mercadolibre.com.ar/MLA-1725114130-motorola-edge-30-ultra-_JM","Motorola","Liberado","Motorola Edge 30 Ultra","Snapdragon 8 Gen 1","256 GB","12 GB","used"
"MLA1728626210","Motorola Edge 40 Pro",700000,"https://articulo.mercadolibre.com.ar/MLA-1728626210-motorola-edge-40-pro-_JM","Motorola","Edge","Edge 40 Pro","Snapdragon 8 Gen 2","256 GB","12 GB","used"
"MLA1729495768","Motorola Edge 30 Fusion 256 Gb  Viva Magenta 12 Gb Ram ",460000,"https://articulo.mercadolibre.com.ar/MLA-1729495768-motorola-edge-30-fusion-256-gb-viva-magenta-12-gb-ram-_JM","Motorola","Edge","30 Fusion","Snapdragon 888+ 5G","256 GB","12 GB","used"
"MLA1609061802","Motorola Egde 30 128gb 8g 5g",285000,"https://articulo.mercadolibre.com.ar/MLA-1609061802-motorola-egde-30-128gb-8g-5g-_JM","Motorola","Edge","Edge","Snapdragon 765G","128 GB","8 GB","used"
"MLA1725767042","Moto Edge 30 Fusión 256gb",450000,"https://articulo.mercadolibre.com.ar/MLA-1725767042-moto-edge-30-fusion-256gb-_JM","Motorola","Edge","30 Fusion Dual SIM","Snapdragon 888+ 5G","256 GB","8 GB","used"
